Name,Last Notice,Total Shares,Shares Held (%),Ticker
Citicorp Nominees Pty Limited,12/9/2024,12701959,7.66,REM
Richard Pace,12/9/2024,28499153,17.18,REM
Adrian John Hollis,12/9/2024,12814473,8.19,REM
John Clegg,12/9/2024,10138786,6.11,REM
Trench Super Pty Ltd,12/9/2024,13587638,8.19,REM
Mineral Resources Limited,28/8/2024,1897587201,64.31,RDG
Anacacia Pty Limited,30/6/2024,12369453,11.24,SND
Ahrens Group Pty Ltd,2/3/2025,8833000,7.25,SND
Naos Asset Management Limited,20/3/2025,18940303,15.55,SND
Timothy Burnett,2/12/2024,9016600,7.66,SND
Bryant Desmond,12/2/2025,24316811,19.7,SND
Vanguard Group,11/4/2025,31124407,5.05,SSM
Mitsubishi UFJ Financial Group Inc,16/4/2025,31173544,5.06,SSM
Pinnacle Investment Management Group Limited,23/9/2024,31245880,5.07,SSM
KM Stokes and associates,26/7/2024,207304349,50.93,SGH
Australiansuper Pty Ltd,6/8/2024,20375267,5.01,SGH
John Darryl Drayton,31/10/2024,10121984,12.12,SHA
Michael van Leeuwen,2/10/2024,12500126,14.97,SHA
Gerard McMahon,20/11/2024,7298115,8.74,SHA
Stephen McDonald,28/11/2024,4815864,5.77,SHA
Jardvan Pty Ltd,16/8/2024,29801030,12.58,SLX
Tessana Pty Ltd,9/8/2024,5692904,12.02,SIV
Wavet Fund No2 Pty Ltd,9/8/2024,9553227,20.18,SIV
ENGLISH FAMILY FOUNDATION PTY LTD,9/8/2024,5268422,11.13,SIV
Peter Jinks,23/9/2024,17176025,15.91,SKS
Matthew Jinks,14/3/2025,22029924,19.48,SKS
Greg Jinks,5/12/2024,14552692,12.99,SKS
Frank Tomasi Nominees Pty Ltd,14/8/2024,46862764,17.8,SXE
TIGA Trading Pty Ltd,21/8/2024,38035965,14.45,SXE
Thorney Opportunities Ltd,21/8/2024,38035965,14.45,SXE
Vanguard Group,11/4/2025,30288197,5.01,SRG
JES Investment Trust,5/8/2024,5777961,5.01,SGI
Michael Reginald Doust,5/8/2024,8666942,7.51,SGI
Michael Alan Arnold,5/8/2024,10886209,10.92,SGI
Andrew Fairbairn,21/11/2024,36714891,15.55,SYL
Joseph Bartolo,21/11/2024,73429782,31.02,SYL
Raymond Dando,21/11/2024,36714891,15.55,SYL
Thriving Treasure Limited,29/9/2023,520000000,7.51,VMG
CF International Development Limited,29/9/2023,600000000,8.66,VMG
Australia Kenkong Investments Co Pty Ltd,29/9/2023,2070000000,29.88,VMG
H&H Holdings Australia Pty Ltd,29/9/2023,1085110976,15.66,VMG
Seabank Resources LDA,29/9/2023,650000000,9.38,VMG
Perennial Value Management Limited,20/9/2024,20322511,14.97,VEE
Vanguard Group,29/1/2025,51408461,6.09,VNT
BlackRock Group,29/1/2025,43126842,5.04,VNT
The Capital Group Companies Inc,29/1/2025,47276758,5.53,VNT
State Street Corporation and subsidiaries,3/4/2025,55090254,6.46,VNT
Thorney Holdings Pty Ltd,12/8/2024,42113716,14.59,VBC
Forager Funds Management Pty Ltd,12/8/2024,15773725,5.46,VBC
GFNA Bartley Family Pty Ltd,12/8/2024,17379543,6.02,VBC
Bloemhof Pty Ltd,12/8/2024,36203550,12.54,VBC
Brian O Sullivan,10/12/2024,64278471,22.14,VBC
John Grill and associated companies,31/7/2024,34336128,6.5,WOR
Vanguard Group,20/9/2024,26765760,5.07,WOR
State Street Corporation and subsidiaries,3/4/2025,37941910,7.17,WOR
D & GD Brown Nom PL,31/7/2024,9192200,6.6,XRF
Michael Karl Korber,21/2/2025,8611321,6.13,XRF
Sim Juat Koon,27/9/2024,11292729,5.26,ZGL
G L Sim and his associates,1/5/2025,108178162,50.42,ZGL
