Date,Name,Bought,Previous %,New %,Ticker
03-04-25,State Street Corporation and subsidiaries,8543271,5.44,6.46,VNT
26-12-24,State Street Corporation and subsidiaries,9201083,5.40,6.47,VNT
23-12-24,Vanguard Group,8561598,5.01,6.01,VNT
13-12-24,Aware Super Pty Ltd,45118092,--,5.27,VNT
04-09-24,State Street Corporation and subsidiaries,46172857,--,5.40,VNT
02-09-24,State Street Corporation and subsidiaries,43979386,--,5.14,VNT
26-06-24,State Street Corporation and subsidiaries,45273914,--,5.29,VNT
13-06-24,State Street Corporation and subsidiaries,44468560,--,5.20,VNT
31-05-24,State Street Corporation and subsidiaries,42778533,--,5.00,VNT
27-05-24,BlackRock Group,43126842,--,5.04,VNT
16-05-24,State Street Corporation and subsidiaries,43806135,--,5.12,VNT
10-05-24,BlackRock Group,42834311,--,5.00,VNT
09-05-24,State Street Corporation and subsidiaries,45396873,--,5.31,VNT
10-12-24,Brian O Sullivan,8142308,25.20,22.1,VBC
07-11-24,AMW Consultancy Services Pty Ltd Gary Waterton and Alexandra Mary Waterton,3491840,5.82,--,VBC
03-04-25,State Street Corporation and subsidiaries,5669990,6.12,7.17,WOR
01-10-24,State Street Corporation and subsidiaries,5690066,5.04,6.12,WOR
20-09-24,Vanguard Group,26765760,--,5.07,WOR
14-08-24,State Street Corporation and subsidiaries,5389318,5.12,6.14,WOR
07-08-24,State Street Corporation and subsidiaries,27009807,--,5.12,WOR
31-07-24,State Street Corporation and subsidiaries,28095038,--,5.33,WOR
09-07-24,State Street Corporation and subsidiaries,27698174,--,5.25,WOR
04-07-24,State Street Corporation and subsidiaries,27474434,--,5.21,WOR
24-06-24,State Street Corporation and subsidiaries,27061233,--,5.13,WOR
05-06-24,State Street Corporation and subsidiaries,5825562,5.09,6.20,WOR
30-05-24,State Street Corporation and subsidiaries,26875681,--,5.09,WOR
27-05-24,State Street Corporation and subsidiaries,29874996,--,5.66,WOR
22-05-24,State Street Corporation and subsidiaries,5984158,5.06,6.20,WOR
17-05-24,State Street Corporation and subsidiaries,26716897,--,5.06,WOR
13-05-24,State Street Corporation and subsidiaries,27649214,--,5.24,WOR
21-02-25,Michael Karl Korber,1537362,7.58,6.13,XRF
01-05-25,G L Sim and his associates,397025,49.64,50.42,ZGL
