Info Date,Ticker,Company,Sector,Market Cap,Shares Outstanding,Open,Close,Volume,Change (%)
2025-04-15,TON,Triton Minerals Ltd,Materials,7841943.67,1568388734.0,0.005,0.005,0.0,0.0
2025-04-15,KNO,Knosys Ltd,Software & Services,7780993.13,216138698.0,0.036,0.036,0.0,0.0
2025-04-15,BCA,Black Canyon Ltd,Materials,7779041.7,129650695.0,0.06,0.06,0.0,0.0
2025-04-15,KOB,Koba Resources Ltd,Materials,7769519.09,158561614.0,0.049,0.049,20925.0,0.0
2025-04-15,PL3,Patagonia Lithium Ltd,Materials,7761673.4,119410360.0,0.065,0.065,0.0,0.0
2025-04-15,C1X,Cosmos Exploration Ltd,Materials,7759995.15,103466602.0,0.075,0.075,207711.0,0.0
2025-04-15,BDT,Birddog Technology Ltd,Technology Hardware & Equipment,7751329.1,161486023.0,0.048,0.048,204311.0,0.0
2025-04-15,IVX,Invion Ltd,"Pharmaceuticals, Biotechnology & Life Sciences",7747838.8,77478388.0,0.11,0.1,58587.0,-9.09
2025-04-15,FG1,FLYNN Gold Ltd,Materials,7709310.48,321221270.0,0.023,0.024,462676.0,4.35
2025-04-15,CPN,Caspin Resources Ltd,Materials,7678792.18,137121289.0,0.055,0.056,182536.0,1.82
2025-04-15,ICG,Inca Minerals Ltd,Materials,7658339.99,1276389999.0,0.005,0.006,5648570.0,20.0
2025-04-15,HMI,Hiremii Ltd,Commercial & Professional Services,7650000.54,147115395.0,0.052,0.052,0.0,0.0
2025-04-15,PV1,Provaris Energy Ltd,Energy,7624470.24,693133658.0,0.01,0.011,41336.0,10.0
2025-04-15,SRR,Sarama Resources Ltd,Materials,7620232.31,272151154.0,0.028,0.028,0.0,0.0
2025-04-15,SVY,Stavely Minerals Ltd,Materials,7616589.3,544042093.0,0.014,0.014,45802.0,0.0
2025-04-15,MRI,My Rewards International Ltd,Commercial & Professional Services,7601817.25,844646361.0,0.009,0.009,0.0,0.0
