document_id,shareholder_name,event_date,present_votes,present_power,number_of_securities,ticker,event_type,previous_votes,previous_power,present_votes_affected,number_of_securities_affected
2024092002855557,['ANDREW MICHAEL CLAYTON SALES',2024-09-20,0.0,0.0,,AL3,change,0.0,0.0,,
2024092302856092,PERENNIAL VALUE MANAGEMENT LIMITED,2024-09-23,20322511.0,14.97,,VEE,change,18663661.0,13.74,,
2024092402856462,FISHER FUNDS MANAGEMENT LIMITED,2024-09-24,21146605.0,7.5925,,JLG,change,18080534.0,6.4917,,
2024092402856685,PERENNIAL VALUE MANAGEMENT LIMITED (PVM),2024-09-24,35869503.0,5.94,,SRG,change,36410603.0,7.01,,
2024092502857197,FIL LIMITED,2024-09-25,44656957.0,7.45,,3DA,change,30303030.0,5.6,,
2024092602857438,VANGUARD GROUP,2024-09-26,26765760.0,5.065,26765760.0,WOR,new,,,,
2024092602858001,PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED,2024-09-26,31245880.0,5.07,31245880.0,SSM,new,,,,
2024100102860955,ALLAN GRAY GROUP,2024-10-01,181940961.0,17.701,,FBU,change,118775568.0,15.168,,
2024100102860486,"LIND GLOBAL FUND II LP (""LGF II"") AND THE LIND PARTNERS",2024-10-01,0.0,20000000.0,7.0,14D,new,,,,
2024100202861433,MICHAEL VAN LEEUWEN,2024-10-02,12500126.0,14.97,,SHA,change,13699037.0,16.41,,
2024100302862079,SIM JUAT KOON,2024-10-03,12248474.0,5.71,,ZGL,change,14569189.0,6.71,,
2024100402862324,STATE STREET CORPORATION AND SUBSIDIARIES NAMED IN PARAGRAPH 6 TO THIS FORM,2024-10-04,32271920.0,6.121,,WOR,change,26581854.0,5.041,,
2024100402862866,SCHRODER INVESTMENT MANAGEMENT AUSTRALIA LTD AND ITS RELATED BODIES CORPORATE,2024-10-04,80199780.0,7.8,,FBU,change,56097620.0,7.16,,
2024100702863403,STATE STREET CORPORATION AND SUBSIDIARIES,2024-10-07,23303364.0,5.1,23303364.0,NWH,new,,,,
2024100802863786,QVG CAPITAL PTY LTD,2024-10-08,5620250.0,5.42,5620250.0,IPG,new,,,,
2024101602867270,TIM CAMPBELL,2024-10-16,3980352.0,4.77,,SHA,change,4875825.0,5.86,,
2024101702868006,AUSTRALIANSUPER PTY LTD,2024-10-17,85356679.0,10.94,,RWC,change,78218339.0,9.9,,
2024102502871922,FIRST SENTIER INVESTORS HOLDINGS PTY LIMITED,2024-10-25,13271115.0,5.0,13271115.0,GWA,new,,,,
2024102802872757,MITSUBISHI UFJ FINANCIAL GROUP INC,2024-10-28,13271115.0,5.0,13271115.0,GWA,new,,,,
2024110102876115,PPK AUST. PTY LTD,2024-11-01,251235441.0,39.24,,LIS,change,320849069.0,50.12,,
2024110702878300,STATE STREET CORPORATION AND SUBSIDIARIES NAMED IN PARAGRAPH 7 TO THIS FORM,2024-11-07,22950074.0,5.02,22950074.0,NWH,new,,,,
2024111102879287,STATE STREET CORPORATION AND SUBSIDIARIES NAMED IN PARAGRAPH 6 TO THIS FORM,2024-11-11,47114867.0,6.04,,RWC,change,39525794.0,5.03,,
2024111202879748,PERPETUAL LIMITED AND ITS RELATED BODIES CORPORATE,2024-11-12,588266.0,5.006,588266.0,KOV,new,,,,
