ticker,shareholder_name,event_date,source,Latest_Holdings,Latest_Percentage
SKS,MATTHEW JINKS MASSY PTY LTD JIREB PTY LTD KRISTIE JINKS LISA JINKS JINKS FAMILY GROUP,3/07/2024,new,23936598,21.41
SKS,GREG JINKS,9/12/2024,change,14552692,12.99
SKS,MATTHEW JINKS MASSV PTY LTD JIREB PTY LTD KRISTIE JINKS MATTHEW JINKS LISA JINKS BUNDARAH PTY LTD VOLANTOR SUPERANNUATION FUND PTY LTD PETER JINKS,18/03/2025,change,22029924,19.48
SKS,['SCHOLZ INDUSTRIES PTY LTD',3/06/2024,cease,,
SKS,MANISA NOMINEES PTY LTD & LASKY SUPER FUND A/C,30/09/2024,cease,,
SND,NAOS SUBSTANTIAL HOLDERS,28/03/2025,change,18940303,15.55
SND,AHRENS GROUP PTY LTD,27/03/2025,change,8833000,7.25
SND,DESMOND BRYANT,12/02/2025,change,24316811,19.7
SND,[TIMOTHY BURNETT,4/12/2024,change,9016600,7.66
SRG,PERENNIAL VALUE MANAGEMENT LIMITED,30/09/2024,cease,,
SRG,COMMONWEALTH BANK OF AUSTRALIA ACN 123 123 124 (CBA) AND ITS RELATED BODIES CORPORATE LISTED IN ANNEXURE A,21/06/2024,cease,,
SRG,['CITIGROUP GLOBAL MARKETS LIMITED',26/03/2025,cease,,
SRG,SUPERNANUATION AND INVESTMENTS HOLDCO PTY LTD,21/06/2024,cease,,
SRG,CITIGROUP GLOBAL MARKETS AUSTRALIA PTY LIMITED,25/03/2025,new,37068546,6.1376
SRG,VANGUARD GROUP,17/04/2025,new,30288197,5.015
SRG,FIRST SENTIER INVESTORS HOLDINGS PTY LIMITED,30/05/2024,cease,,
SSM,THORNEY OPPORTUNITIES LTD,2/05/2025,cease,,
SSM,ALLAN GRAY AUSTRALIA PTY LTD,29/04/2025,cease,,
SSM,WILSON ASSET MANAGEMENT GROUP,21/02/2025,cease,,
SSM,VANGUARD GROUP,17/04/2025,new,31124407,5.053
SSM,DIMENSIONAL ENTITIES,21/03/2025,cease,,
SSM,TIGA TRADING PTY LTD,2/05/2025,cease,,
SSM,['AUSTRALIAN RETIREMENT TRUST PTY LTD ATF AUSTRALIAN RETIREMENT TRUST'],24/04/2025,cease,,
SSM,PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED,26/09/2024,new,31245880,5.07
SXE,COMMONWEALTH BANK OF AUSTRALIA,21/06/2024,cease,,
SXE,THORNEY OPPORTUNITIES LTD,23/08/2024,change,38035965,14.45
SXE,SUPERNANUATION AND INVESTMENTS HOLDCO PTY LTD,21/06/2024,cease,,
SXE,FIRST SENTIER INVESTORS HOLDINGS PTY LIMITED,28/03/2024,change,16677193,6.34
SXE,['MITSUBISHI UFJ FINANCIAL GROUP INC',20/06/2024,cease,,
SXE,TIGA TRADING PTY LTD,23/08/2024,change,38035965,14.45
SXE,FIRST SENTIER INVESTORS HOLDINGS PTY LIMITED AND ITS RELATED BODIES CORPORATE OR ASSOCIATES LISTED IN ANNEXURE A,19/06/2024,cease,,
SYL,RAYMOND DANDO,25/11/2024,new,36714891,15.55
SYL,JOSEPH BARTOLO,25/11/2024,new,73429782,31.02
SYL,ANDREW FAIRBAIRN,25/11/2024,new,36714891,15.55
TEA,STEPHEN ELLIOTT YOUNG / PORT TACK PTY LTD / MARESA PTY LTD,1/05/2024,new,90646956,41.6
TEA,MARK GABRIEL VARTULI / VARS ENTERPRISES PTY LTD / MEAGAN JOY VARTULI,1/05/2024,new,40120870,18.4
VBC,GFNA BARTLEY FAMILY PTY LTD,15/11/2024,cease,,
VBC,BRIAN O'SULLIVAN,12/12/2024,change,64278471,22.14
VEE,PERENNIAL VALUE MANAGEMENT LIMITED,23/09/2024,change,20322511,14.97
VNT,STATE STREET CORPORATION AND SUBSIDIARIES NAMED IN PARAGRAPH 6 TO THIS FORM,22/01/2025,change,46546983,5.44
VNT,['BLACKROCK GROUP',30/05/2024,cease,,
