,Ticker,Company,Sector
238,ASQ,AUSTRALIAN SILICA QUARTZ GROUP LTD,Materials
239,ASM,AUSTRALIAN STRATEGIC MATERIALS LIMITED,Materials
240,AUI,AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED,Not Applic
241,AYU,AUSTRALIAN UNITY LIMITED,Not Applic
242,AOF,AUSTRALIAN UNITY OFFICE FUND,Equity Real Estate Investment Trusts (REITs)
243,AVL,AUSTRALIAN VANADIUM LIMITED,Materials
244,AVG,AUSTRALIAN VINTAGE LTD,"Food, Beverage & Tobacco"
245,ATS,AUSTRALIS OIL & GAS LIMITED,Energy
246,ASG,AUTOSPORTS GROUP LIMITED.,Consumer Discretionary Distribution & Retail
247,AVA,AVA RISK GROUP LIMITED,Technology Hardware & Equipment
248,AVD,AVADA GROUP LIMITED,Commercial & Professional Services
249,AVE,AVECHO BIOTECHNOLOGY LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
250,AEV,AVENIRA LIMITED,Materials
251,AVW,AVIRA RESOURCES LTD,Materials
252,AVH,AVITA MEDICAL INC.,"Pharmaceuticals, Biotechnology & Life Sciences"
253,AVJ,AVJENNINGS LIMITED,Consumer Durables & Apparel
254,AXL,AXEL REE LIMITED,Materials
255,AXI,AXIOM PROPERTIES LIMITED,Real Estate Management & Development
256,AXP,AXP ENERGY LIMITED,Energy
257,BBN,BABY BUNTING GROUP LIMITED,Consumer Discretionary Distribution & Retail
258,BPP,BABYLON PUMP & POWER LIMITED,Capital Goods
259,BTI,BAILADOR TECHNOLOGY INVESTMENTS LIMITED,Financial Services
260,BMR,BALLYMORE RESOURCES LIMITED,Materials
261,B01,BANCO SANTANDER S.A.,Not Applic
262,BOQ,BANK OF QUEENSLAND LIMITED.,Banks
263,BMN,BANNERMAN ENERGY LTD,Energy
264,BAP,BAPCOR LIMITED,Consumer Discretionary Distribution & Retail
265,BGD,BARTON GOLD HOLDINGS LIMITED,Materials
266,BSN,BASIN ENERGY LIMITED,Energy
